编号,区域,负载类别,设备,功率依据,插座要求,回路/安全要求,智能系统备注,责任方,状态
RACK-POWER,衣帽间/网络设备区,网络与控制,"光猫；路由器/防火墙；可管理 PoE 交换机；Apple Silicon Mac mini；RS-485 网关；UPS；机柜 PDU","按设备铭牌功率和 PoE 总功率预算核算","一个独立带地墙插给机柜/UPS 输入；UPS 输出接机柜 PDU；避免廉价插排层层串接","电工确认回路、接地和通风；与衣物、P2S 和高热设备隔离；第二个 RS-485 网关可接机柜 PDU","UPS 只给网络、Mac mini 主控和网关供电，不给高功率设备供电",电工/弱电/业主,已规划
B1-WS-POWER,书房,工作站,"RTX 3090 工作站；显示器；桌面外设","按电源和显示器铭牌功率核算","书桌侧多位带地插座组","不得依赖隐藏插排；插座不要被桌腿或柜体挡住","工作站不接整机柜 UPS，不用普通智能插座切断电源",电工/业主,已规划
B2-DESK-POWER,儿童房/次卧,桌面备用,"未来台式机；显示器；充电器","按未来设备铭牌功率核算","书桌侧插座组，保留余量","高度按最终书桌和柜体位置确定","仅低风险桌面负载可后续做用电监测",电工/业主,已规划
MB-BAL-DESK-POWER,主卧阳台,桌面/工作区,"台灯；充电器；笔记本；未来台式机或多电脑设备","按未来设备铭牌功率核算","书桌侧多位带地插座组","避免被书桌、柜体或窗帘遮挡；电工需考虑阳台潮气和日晒","不接 UPS；仅低风险桌面负载可后续做用电监测",电工/设计师/业主,已规划
KID-DESK-POWER,儿童房/次卧,桌面/学习区,"台灯；电脑；充电器；未来台式机","按未来设备铭牌功率核算","书桌侧多位带地插座组","高度按最终书桌和柜体位置确定","不接 UPS；仅低风险桌面负载可后续做用电监测",电工/设计师/业主,已规划
STUDY-DESK-POWER,书房,桌面/工作区,"RTX 3090 工作站；显示器；台灯；充电器；可能多台电脑","按电源和设备铭牌功率核算","书桌侧大容量带地插座组；多电脑场景可考虑两组插座","不得被固定柜体遮挡；避免与 P2S、机柜、UPS 负载混用","不接 UPS；工作站不得用普通智能插座切断电源",电工/设计师/业主,已规划
AV-POWER,客厅,影音,"功放；播放器；游戏机；小交换机；影音附件","按实际设备铭牌功率核算","影音柜内多位插座组","柜内保留通风和检修空间","低风险影音设备可后续做用电监测",电工/业主,已规划
PJ-POWER,客厅,投影,投影仪,"按投影仪铭牌功率核算","投影位 220V 插座，与新版平面图幕布位置协调","与投影吊架、幕布和影音穿线管一起定位","投影关机散热逻辑不能依赖智能系统强制断电",电工/设计师,已规划
CURTAIN-POWER,全屋,窗帘电机,窗帘电机,"按电机厂家要求","每个窗帘盒 220V 常电","已确认单层窗帘；每组 1 台电机、1 个控制通道；保留接地和检修空间","电源不通过普通墙壁开关切断；不为场景面板单独开槽；本地控制用电机遥控/无线按钮/厂家面板",电工/设计师,已规划
SWITCH-POWER,全屋,智能开关,"智能开关；继电器模块","按模块规格和灯光回路设计","每个开关盒按电工设计保留火线、零线、灯控线、地线；使用加深 86 底盒","不同漏保回路零线不得混用","关键照明必须在智能系统停机时仍可手动使用",电工/设计师,已规划
