编号,区域,项目,类型,数量,线缆/管路,起点,终点,责任方,验收要求,状态
RACK-SPACE,衣帽间,12U 优先落地网络机柜安装位,机柜,1,落地机柜空间,衣帽间地面/墙边,衣帽间,装修队,位置/门开启/检修空间/衣物和冰箱散热隔离确认；不按壁挂加固施工,已规划
RACK-POWER,衣帽间,机柜独立带地电源,强电,1,220V 带地回路,配电箱,衣帽间机柜,电工,接地/插座数量/位置确认,已规划
RACK-VENT,衣帽间,机柜通风或静音排风,通风,1,通风路径,衣帽间,衣帽间,装修队,不完全密闭/通风路径确认,已规划
PATCH-24,衣帽间,24口配线架安装位,弱电,1,配线架,所有网络点位,衣帽间机柜,弱电施工,配线架编号清晰,已规划
AP1,左侧中央走廊,吸顶 AP1 网线,弱电,1,Cat6 或 Cat6A,衣帽间配线架,左侧走廊吊顶/可暗线顶面,弱电施工,PoE 网线测试/编号/照片；暗线出线顶面明装,已规划
AP2,客厅,吸顶 AP2 网线,弱电,1,Cat6 或 Cat6A,衣帽间配线架,客厅边吊/空调出风口附近无遮挡位置,弱电施工,PoE 网线测试/编号/照片；客厅无满吊顶时允许偏置安装；暗线出线顶面明装,已规划
ZIGBEE-POE,中央走廊,PoE Zigbee 协调器网线,弱电,1,Cat6,衣帽间配线架,中央走廊开放顶面/高位位置,弱电施工,网线暗走；顶面/高位明装；不得进金属机柜；PoE 网线测试/照片,已规划
B1-DATA-1,书房,办公桌网口1,弱电,1,Cat6A,衣帽间配线架,书房书桌,弱电施工,网线测试/墙面编号,已规划
B1-DATA-2,书房,办公桌网口2,弱电,1,Cat6A,衣帽间配线架,书房书桌,弱电施工,网线测试/墙面编号,已规划
B2-DATA-1,儿童房/次卧,书桌网口1,弱电,1,Cat6A,衣帽间配线架,儿童房/次卧书桌,弱电施工,网线测试/墙面编号,已规划
B2-DATA-2,儿童房/次卧,书桌网口2,弱电,1,Cat6A,衣帽间配线架,儿童房/次卧书桌,弱电施工,网线测试/墙面编号,已规划
MB-BAL-DATA-1,主卧阳台,主卧阳台书桌网口1,弱电,1,Cat6A,衣帽间配线架,主卧阳台书桌,弱电施工,如主卧阳台作电脑/阅读桌则测试/编号/墙面标注,已规划
MB-BAL-DATA-2,主卧阳台,主卧阳台书桌网口2,预留,1,Cat6A 可选或空管+拉线,衣帽间配线架,主卧阳台书桌,弱电施工,第二台电脑/扩展坞备用；受限时至少空管+拉线,可选
P2S-DATA,衣帽间,P2S 位备用网口,弱电,0-1,Cat6A 可选,衣帽间配线架,P2S 台面/搁板,弱电施工,P2S 可用 Wi-Fi；如穿网线则测试/编号/照片,已规划
BAL2-DATA,客厅阳台,备用网口,弱电,1,Cat6,衣帽间配线架,客厅阳台,弱电施工,备用/网线测试；洗衣机已固定在次卫,已规划
PJ-DATA,客厅,投影备用网口,弱电,1,Cat6,衣帽间配线架,投影位置/幕布协调点,弱电施工,网线测试/与新版平面图幕布位置和投影电源同点位复核,已规划
PJ-POWER,客厅,投影电源,强电,1,220V,配电箱,投影位置/幕布协调点,电工,位置与新版平面图幕布确认,已规划
PJ-CONDUIT,客厅,影音穿线管,空管,1,大口径弱电管,投影位置,影音柜,装修队,不得与 220V 共管/通畅,已规划
AV-DATA-1,客厅,影音柜网口1,弱电,1,Cat6,衣帽间配线架,影音柜,弱电施工,网线测试/编号,已规划
AV-DATA-2,客厅,影音柜网口2,弱电,1,Cat6 或受限时空管,衣帽间配线架,影音柜,弱电施工,默认第二根 Cat6；无法穿线时至少保留空管,已规划
MAC-HOST,衣帽间,主控主机网线,弱电,1,Cat6A,衣帽间配线架,衣帽间机柜,弱电施工,网线测试/编号,已规划
RS485-GW-NET,衣帽间,RS-485 网关以太网,弱电,1,Cat6,衣帽间配线架,RS-485 网关,弱电施工,网线测试/固定位置,已规划
HVAC-GW,中央空调,日立 RS-485 独立通道,RS-485,1,独立弱电管+拉线；厂家确认后穿指定屏蔽 RS-485 线,日立协议转换器可检修位置,衣帽间 RS-485 网关 1 号口,暖通/弱电施工,A/B/GND/屏蔽/线型/照片/不得与格恩共管共线；线型未确认前先做独立管路,已规划
HUM-GW,中央加湿,格恩 RS-485 独立通道,RS-485,1,独立弱电管+拉线；厂家确认后穿指定屏蔽 RS-485 线,格恩控制器,衣帽间 RS-485 网关 2 号口,加湿/弱电施工,A/B/GND/屏蔽/线型/照片/不得与日立共线；线型未确认前先做独立管路,已规划
ENTRY-H,入户门,入户门上方高位网线,弱电,1,Cat6,衣帽间配线架,入户门上方高位,弱电施工,物业/隐私确认后安装设备,已规划
ENTRY-L,入户门,入户门旁低位线/空管,弱电,1,Cat6 优先；至少空管+拉线,衣帽间配线架,入户门旁低位,弱电施工,门铃候选；不穿网线也必须留可穿线空管/编号/照片,已规划
CURTAIN-LR,客厅,客厅窗帘电源和弱电空管,窗帘,待定,220V + 空管,配电箱,客厅窗帘盒,电工/装修队,常电/接地/检修口/弱电空管,已规划
CURTAIN-B1,书房,窗帘电源和弱电空管,窗帘,待定,220V + 空管,配电箱,书房窗帘盒,电工/装修队,常电/接地/检修口/弱电空管,已规划
CURTAIN-B2,儿童房/次卧,窗帘电源和弱电空管,窗帘,待定,220V + 空管,配电箱,儿童房/次卧窗帘盒,电工/装修队,常电/接地/检修口/弱电空管,已规划
CURTAIN-B3,主卧,窗帘电源和弱电空管,窗帘,待定,220V + 空管,配电箱,主卧窗帘盒,电工/装修队,常电/接地/检修口/弱电空管,已规划
LIGHT-SWITCHES,全屋,智能开关基础条件,强电,待定,火线/零线/灯控线/地线,配电箱,86 底盒,电工,零线/加深底盒/不同漏保零线不混用,已规划
